Time,xPos,yPos,zPos,u,w,q,theta,Elevator Angle
3.074849129,-8.264462729,-0.018043768,1.509230728,1.096458643,-0.255143038,0.36306836,0.260126012,13.05830889
3.08356595,-8.262670933,-0.017796073,1.509627084,1.202847742,-0.249425972,0.399612966,0.26345612,12.99696133
3.091423988,-8.260757995,-0.017570299,1.51001954,1.325827764,-0.244074533,0.457867299,0.267271681,13.01738557
3.099848986,-8.258742156,-0.017374574,1.510402459,1.468604305,-0.22411663,0.519676041,0.271602314,12.99536388
3.108368158,-8.256628413,-0.017171421,1.510706679,1.643602475,-0.187004929,0.609672179,0.276682916,13.03169695
3.116817951,-8.254414971,-0.01704652,1.511070808,1.840176927,-0.161992967,0.657222735,0.282159772,12.75542393
3.124995947,-8.25210936,-0.016907416,1.511393268,2.068771487,-0.127631725,0.8097967,0.288908078,13.01880178
3.133204937,-8.249688355,-0.016797648,1.511673842,2.33014574,-0.11934842,0.865162961,0.296117769,12.61237973
3.141309023,-8.24714469,-0.016785011,1.511951246,2.613315737,-0.129507922,0.930943629,0.303875633,12.21081188
3.149671078,-8.244457468,-0.016773716,1.512177381,2.924234204,-0.152719525,0.95938951,0.311870545,11.48970332
3.158082008,-8.241657196,-0.016730513,1.512329948,3.254781155,-0.201991638,0.980381926,0.320040395,10.66024016
3.166614056,-8.238709006,-0.016780164,1.512514522,3.592541056,-0.281583685,1.008724465,0.328446432,9.868870257
3.174853086,-8.235572171,-0.016882901,1.512667651,3.926560526,-0.385037385,1.131716423,0.337877402,9.715165199
3.183076143,-8.2322698,-0.01695804,1.512770565,4.197300483,-0.526121592,1.082425843,0.346897618,8.834721666
3.192146063,-8.228715948,-0.017121332,1.512894075,4.390602229,-0.598562343,0.728253671,0.352966398,6.321811565
3.199855089,-8.224917719,-0.017320097,1.512984785,4.540318531,-0.683470285,0.612834471,0.358073352,5.333919618
3.208227158,-8.22083472,-0.017511864,1.512968053,4.643988411,-0.79142979,0.622222773,0.363258542,5.288665933
3.216643095,-8.2164455,-0.01775532,1.51298103,4.680900377,-0.84525304,0.375267216,0.366385769,3.905278073
3.224766016,-8.211773899,-0.017976917,1.512936349,4.699868036,-0.879953877,-0.027087772,0.366160037,1.489656584
